district,state,soil_type,latitude,longitude,elevation_m,climate_zone,average_annual_rainfall_mm,water_level,irrigation,groundwater_status,major_water_source,drought_risk,flood_risk,recommended_irrigation,major_crops,preferred_crops
Bagalkote,Karnataka,Black Soil,16.1867,75.6961,532,Semi-Arid,620,Medium,Available,Moderate,Almatti Dam,Medium,Low,Sprinkler,Sugarcane|Jowar|Groundnut,Sugarcane|Maize|Groundnut
Ballari,Karnataka,Black Soil,15.1394,76.9214,450,Semi-Arid,560,Low,Limited,Poor,Tungabhadra Dam,High,Low,Drip,Cotton|Groundnut|Millets,Cotton|Groundnut|Millets
Belagavi,Karnataka,Black Soil,15.8497,74.4977,762,Tropical Monsoon,1180,High,Available,Good,Malaprabha River,Low,Medium,Sprinkler,Sugarcane|Maize|Groundnut,Sugarcane|Maize|Groundnut
Bengaluru Rural,Karnataka,Red Soil,13.2841,77.6078,915,Tropical Savanna,910,Medium,Available,Moderate,Groundwater,Medium,Low,Drip,Ragi|Vegetables|Maize,Ragi|Maize|Vegetables
Bengaluru Urban,Karnataka,Red Soil,12.9716,77.5946,920,Tropical Savanna,970,Medium,Available,Moderate,Cauvery Water Supply,Medium,Low,Drip,Vegetables|Flowers|Ragi,Vegetables|Flowers|Ragi
Bidar,Karnataka,Black Soil,17.9133,77.5301,710,Semi-Arid,860,Medium,Limited,Moderate,Groundwater,Medium,Low,Sprinkler,Tur|Soybean|Cotton,Tur|Soybean|Cotton
Chamarajanagar,Karnataka,Red Soil,11.9261,76.94,690,Tropical Savanna,760,Medium,Available,Moderate,Cauvery River,Medium,Low,Sprinkler,Ragi|Maize|Sugarcane,Ragi|Maize|Sugarcane
Chikkaballapur,Karnataka,Red Soil,13.435,77.7315,915,Semi-Arid,720,Low,Limited,Poor,Groundwater,High,Low,Drip,Grapes|Mango|Ragi,Grapes|Mango|Ragi
Chikkamagaluru,Karnataka,Laterite Soil,13.3153,75.7754,1090,Tropical Monsoon,1850,Very High,Available,Excellent,Bhadra River,Low,Medium,Rain-fed + Drip,Coffee|Arecanut|Pepper,Coffee|Pepper|Cardamom
Chitradurga,Karnataka,Red Soil,14.2306,76.398,732,Semi-Arid,610,Low,Limited,Poor,Groundwater,High,Low,Drip,Groundnut|Millets|Jowar,Groundnut|Millets|Jowar
