scheme_name,category,benefit,eligibility,official_website
PM-KISAN,Income Support,Provides ₹6000 per year in three equal installments to eligible farmer families,All eligible landholding farmer families,https://pmkisan.gov.in
PMFBY,Crop Insurance,Insurance coverage against crop loss due to natural calamities,All farmers growing notified crops,https://pmfby.gov.in
PMKSY,Irrigation,Financial assistance for irrigation infrastructure and water conservation,Farmers and irrigation projects,https://pmksy.gov.in
Soil Health Card Scheme,Soil Management,Provides free soil testing and fertilizer recommendations,All farmers,https://soilhealth.dac.gov.in
Kisan Credit Card (KCC),Agricultural Credit,Provides low-interest agricultural loans,Farmers engaged in agriculture and allied activities,https://www.myscheme.gov.in
e-NAM,Market Access,Online agricultural marketplace connecting farmers with buyers,Farmers registered with e-NAM,https://enam.gov.in
National Food Security Mission (NFSM),Crop Production,Supports production of rice wheat pulses coarse cereals and commercial crops,Farmers cultivating notified crops,https://nfsm.gov.in
RKVY,Infrastructure,Financial support for agricultural infrastructure and innovation,State governments and farmers,https://rkvy.nic.in
Paramparagat Krishi Vikas Yojana (PKVY),Organic Farming,Financial support for organic farming practices,Farmers willing to adopt organic farming,https://pgsindia-ncof.gov.in
Mission for Integrated Development of Horticulture (MIDH),Horticulture,Financial assistance for fruits vegetables spices flowers and plantation crops,Horticulture farmers,https://midh.gov.in
National Mission on Sustainable Agriculture (NMSA),Sustainable Farming,Promotes climate-resilient and sustainable farming practices,Farmers across India,https://nmsa.dac.gov.in
Pradhan Mantri Kisan Maan Dhan Yojana (PM-KMY),Pension,Provides monthly pension after the age of 60 years,Small and marginal farmers,https://pmkmy.gov.in
Agriculture Infrastructure Fund (AIF),Infrastructure,Financial assistance for post-harvest management and infrastructure,Farmers FPOs PACS and agri entrepreneurs,https://agriinfra.dac.gov.in
Formation and Promotion of Farmer Producer Organizations (FPO),Farmer Organization,Support for forming Farmer Producer Organizations,Farmer groups and cooperatives,https://sfacindia.com
National Beekeeping and Honey Mission (NBHM),Allied Agriculture,Financial assistance for beekeeping and honey production,Beekeepers and farmers,https://nbhm.gov.in
National Livestock Mission (NLM),Livestock,Financial support for livestock and poultry development,Farmers engaged in animal husbandry,https://nlm.udyamimitra.in
Dairy Entrepreneurship Development Scheme (DEDS),Dairy Farming,Financial assistance for dairy enterprises,Dairy farmers and entrepreneurs,https://www.nabard.org
Sub-Mission on Agricultural Mechanization (SMAM),Farm Mechanization,Subsidy for purchasing farm machinery,Farmers and Farmer Producer Organizations,https://agrimachinery.nic.in
Rainfed Area Development (RAD),Rainfed Farming,Support for integrated farming systems in rainfed areas,Farmers in rainfed regions,https://nmsa.dac.gov.in
Micro Irrigation Fund (MIF),Micro Irrigation,Financial assistance for drip and sprinkler irrigation,Farmers adopting micro irrigation,https://www.nabard.org
