crop,advisory,fertilizer_recommendation,irrigation_tip,best_practice
Rice,Maintain standing water during vegetative growth and monitor for blast disease.,Apply balanced NPK fertilizer in split doses.,Maintain 5 to 7 cm water level during growth.,Use certified seeds and practice crop rotation.
Maize,Avoid waterlogging and ensure proper drainage.,Apply nitrogen in three split applications.,Irrigate during tasseling and grain filling stages.,Maintain recommended plant spacing.
Cotton,Monitor for bollworm and leaf curl disease.,Use balanced fertilizer with adequate potassium.,Prefer drip irrigation wherever possible.,Use certified seeds and integrated pest management.
Sugarcane,Maintain adequate soil moisture throughout the growing period.,Apply organic manure along with nitrogen fertilizer.,Frequent irrigation during summer.,Use healthy seed setts and remove weeds regularly.
Groundnut,Avoid excessive irrigation during flowering.,Apply gypsum at flowering stage.,Light irrigation during flowering and pod formation.,Practice crop rotation to reduce disease.
Millets,Ideal for drought-prone regions.,Apply compost and moderate nitrogen fertilizer.,Minimal irrigation is sufficient.,Choose drought-resistant varieties.
Ragi,Performs well under low rainfall conditions.,Apply farmyard manure before sowing.,Irrigate only during prolonged dry spells.,Timely weeding improves yield.
Jowar,Avoid waterlogging during early growth.,Apply recommended nitrogen and phosphorus.,Irrigate during flowering if rainfall is inadequate.,Maintain optimum plant population.
Bajra,Suitable for dryland farming.,Use organic manure and nitrogen fertilizer.,Requires very little irrigation.,Grow drought-tolerant varieties.
Wheat,Maintain proper irrigation during grain filling.,Apply nitrogen in split doses.,Critical irrigation at crown root initiation stage.,Use disease-resistant varieties.
Barley,Avoid excessive nitrogen application.,Apply balanced fertilizer.,Limited irrigation is sufficient.,Harvest at physiological maturity.
Pigeonpeas,Intercrop with cereals for better productivity.,Use phosphorus-rich fertilizer.,Usually grown under rainfed conditions.,Monitor for pod borers.
Chickpea,Avoid excess irrigation after flowering.,Use Rhizobium inoculation before sowing.,Provide one irrigation during pod formation if needed.,Practice crop rotation.
Lentil,Ensure proper drainage.,Apply phosphorus fertilizer.,Limited irrigation during flowering.,Avoid water stagnation.
Blackgram,Use disease-free certified seeds.,Apply phosphorus and potash.,Minimal irrigation required.,Timely harvesting prevents shattering.
Green Gram,Ensure timely sowing for higher yield.,Apply balanced fertilizers.,Provide irrigation during flowering if dry.,Use resistant varieties.
Kidney Beans,Maintain adequate soil moisture.,Apply phosphorus-rich fertilizer.,Moderate irrigation during flowering.,Avoid waterlogging.
Soybean,Ensure proper inoculation with Rhizobium.,Balanced NPK fertilizer is recommended.,Avoid excess irrigation.,Practice timely weed management.
Mustard,Use sulfur-containing fertilizer.,Balanced nitrogen and phosphorus application.,One irrigation at flowering is beneficial.,Monitor aphid infestation.
Sesame,Avoid waterlogging.,Apply organic manure before sowing.,Requires minimal irrigation.,Harvest before capsule shattering.
Sunflower,Maintain balanced nutrition.,Apply boron if deficiency occurs.,Irrigate during flowering and seed filling.,Monitor head borer infestation.
Coffee,Provide shade and maintain soil moisture.,Apply organic manure regularly.,Maintain adequate moisture during dry months.,Regular pruning improves productivity.
Tea,Regular pruning improves yield.,Apply nitrogen-rich fertilizer.,Frequent light irrigation during dry periods.,Maintain proper drainage.
Coconut,Maintain basin irrigation.,Apply compost and potassium fertilizer.,Irrigate every 7 to 10 days during summer.,Remove dried leaves regularly.
Arecanut,Maintain adequate soil moisture.,Apply balanced NPK fertilizer.,Regular irrigation is necessary.,Provide shade for young plants.
Cashew,Avoid waterlogging.,Apply organic manure annually.,Minimal irrigation after establishment.,Prune dead branches regularly.
