crop,season,duration_days,water_requirement,difficulty
Rice,Kharif,120,High,Medium
Maize,Kharif,100,Medium,Easy
Cotton,Kharif,180,Medium,Hard
Groundnut,Kharif,110,Low,Easy
Millets,Kharif,95,Low,Easy
Sugarcane,Annual,365,High,Hard
Coffee,Annual,300,Medium,Hard
Tea,Annual,365,High,Hard
Banana,Annual,300,High,Medium
Mango,Annual,365,Medium,Medium
Orange,Rabi,270,Medium,Medium
Apple,Rabi,280,Medium,Medium
Grapes,Rabi,240,Medium,Hard
Papaya,Annual,270,Medium,Easy
Pomegranate,Annual,240,Low,Medium
Coconut,Annual,365,Medium,Hard
Arecanut,Annual,365,Medium,Hard
Cashew,Annual,300,Low,Medium
Tomato,Rabi,90,Medium,Easy
Onion,Rabi,120,Medium,Medium
Potato,Rabi,100,Medium,Medium
Brinjal,Annual,150,Medium,Easy
Cabbage,Rabi,90,Medium,Easy
Cauliflower,Rabi,90,Medium,Easy
Chilli,Kharif,150,Medium,Medium
Turmeric,Kharif,270,Medium,Medium
Ginger,Kharif,240,Medium,Medium
Sunflower,Kharif,100,Low,Easy
Soybean,Kharif,110,Medium,Easy
Blackgram,Kharif,90,Low,Easy
Green Gram,Kharif,80,Low,Easy
Horse Gram,Kharif,100,Low,Easy
Jowar,Kharif,110,Low,Easy
Bajra,Kharif,95,Low,Easy
Ragi,Kharif,120,Low,Easy
Sesame,Kharif,90,Low,Easy
Mustard,Rabi,120,Low,Easy
